"","Domain.Code","Domain","Area.Code..M49.","Area","Element.Code","Element","Item.Code..CPC.","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Note"
"40","QCL","Crops and livestock products",434,"Libya",5510,"Production",118,"Millet",2023,2023,"t",6000,"X","Figure from international organizations","Unofficial figure"
"41","QCL","Crops and livestock products",450,"Madagascar",5510,"Production",114,"Sorghum",2023,2023,"t",1378.01,"E","Estimated value",""
"42","QCL","Crops and livestock products",454,"Malawi",5510,"Production",118,"Millet",2023,2023,"t",42855.5,"I","Imputed value",""
"43","QCL","Crops and livestock products",454,"Malawi",5510,"Production",114,"Sorghum",2023,2023,"t",117000,"X","Figure from international organizations","Unofficial figure"
"44","QCL","Crops and livestock products",466,"Mali",5510,"Production",118,"Millet",2023,2023,"t",1942580,"A","Official figure",""
"45","QCL","Crops and livestock products",466,"Mali",5510,"Production",114,"Sorghum",2023,2023,"t",1528008,"A","Official figure",""
"46","QCL","Crops and livestock products",478,"Mauritania",5510,"Production",118,"Millet",2023,2023,"t",3000,"X","Figure from international organizations","Unofficial figure"
"47","QCL","Crops and livestock products",478,"Mauritania",5510,"Production",114,"Sorghum",2023,2023,"t",86000,"X","Figure from international organizations","Unofficial figure"
"48","QCL","Crops and livestock products",504,"Morocco",5510,"Production",118,"Millet",2023,2023,"t",5281.46,"E","Estimated value",""
"49","QCL","Crops and livestock products",504,"Morocco",5510,"Production",114,"Sorghum",2023,2023,"t",3132,"A","Official figure",""
"50","QCL","Crops and livestock products",508,"Mozambique",5510,"Production",118,"Millet",2023,2023,"t",17099,"A","Official figure",""
"51","QCL","Crops and livestock products",508,"Mozambique",5510,"Production",114,"Sorghum",2023,2023,"t",139554,"A","Official figure",""
"52","QCL","Crops and livestock products",516,"Namibia",5510,"Production",118,"Millet",2023,2023,"t",20470,"A","Official figure",""
"53","QCL","Crops and livestock products",516,"Namibia",5510,"Production",114,"Sorghum",2023,2023,"t",2237,"A","Official figure",""
"54","QCL","Crops and livestock products",562,"Niger",5510,"Production",118,"Millet",2023,2023,"t",3346000,"X","Figure from international organizations","Unofficial figure"
"55","QCL","Crops and livestock products",562,"Niger",5510,"Production",114,"Sorghum",2023,2023,"t",1646000,"X","Figure from international organizations","Unofficial figure"
"56","QCL","Crops and livestock products",566,"Nigeria",5510,"Production",118,"Millet",2023,2023,"t",1559000,"X","Figure from international organizations","Unofficial figure"
"57","QCL","Crops and livestock products",566,"Nigeria",5510,"Production",114,"Sorghum",2023,2023,"t",6402000,"X","Figure from international organizations","Unofficial figure"
"58","QCL","Crops and livestock products",646,"Rwanda",5510,"Production",118,"Millet",2023,2023,"t",1888.15,"A","Official figure",""
"59","QCL","Crops and livestock products",646,"Rwanda",5510,"Production",114,"Sorghum",2023,2023,"t",185720.4,"A","Official figure",""
"60","QCL","Crops and livestock products",686,"Senegal",5510,"Production",118,"Millet",2023,2023,"t",1353000,"X","Figure from international organizations","Unofficial figure"
"61","QCL","Crops and livestock products",686,"Senegal",5510,"Production",114,"Sorghum",2023,2023,"t",445000,"X","Figure from international organizations","Unofficial figure"
"62","QCL","Crops and livestock products",694,"Sierra Leone",5510,"Production",118,"Millet",2023,2023,"t",41000,"X","Figure from international organizations","Unofficial figure"
"63","QCL","Crops and livestock products",694,"Sierra Leone",5510,"Production",114,"Sorghum",2023,2023,"t",61000,"X","Figure from international organizations","Unofficial figure"
"64","QCL","Crops and livestock products",706,"Somalia",5510,"Production",114,"Sorghum",2023,2023,"t",1e+05,"X","Figure from international organizations","Unofficial figure"
"65","QCL","Crops and livestock products",710,"South Africa",5510,"Production",118,"Millet",2023,2023,"t",6329.86,"E","Estimated value",""
"66","QCL","Crops and livestock products",710,"South Africa",5510,"Production",114,"Sorghum",2023,2023,"t",94360,"A","Official figure",""
"67","QCL","Crops and livestock products",728,"South Sudan",5510,"Production",118,"Millet",2023,2023,"t",45000,"X","Figure from international organizations","Unofficial figure"
"68","QCL","Crops and livestock products",728,"South Sudan",5510,"Production",114,"Sorghum",2023,2023,"t",867000,"X","Figure from international organizations","Unofficial figure"
"69","QCL","Crops and livestock products",729,"Sudan",5510,"Production",118,"Millet",2023,2023,"t",684000,"X","Figure from international organizations","Unofficial figure"
"70","QCL","Crops and livestock products",729,"Sudan",5510,"Production",114,"Sorghum",2023,2023,"t",3055000,"X","Figure from international organizations","Unofficial figure"
"71","QCL","Crops and livestock products",768,"Togo",5510,"Production",118,"Millet",2023,2023,"t",25735.32,"I","Imputed value",""
"72","QCL","Crops and livestock products",768,"Togo",5510,"Production",114,"Sorghum",2023,2023,"t",288000,"X","Figure from international organizations","Unofficial figure"
"73","QCL","Crops and livestock products",788,"Tunisia",5510,"Production",114,"Sorghum",2023,2023,"t",1229.54,"I","Imputed value",""
"74","QCL","Crops and livestock products",800,"Uganda",5510,"Production",118,"Millet",2023,2023,"t",70000,"X","Figure from international organizations","Unofficial figure"
"75","QCL","Crops and livestock products",800,"Uganda",5510,"Production",114,"Sorghum",2023,2023,"t",225000,"X","Figure from international organizations","Unofficial figure"
"76","QCL","Crops and livestock products",834,"United Republic of Tanzania",5510,"Production",118,"Millet",2023,2023,"t",282000,"A","Official figure",""
"77","QCL","Crops and livestock products",834,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2023,2023,"t",737819,"A","Official figure",""
"78","QCL","Crops and livestock products",894,"Zambia",5510,"Production",118,"Millet",2023,2023,"t",46753.21,"A","Official figure",""
"79","QCL","Crops and livestock products",894,"Zambia",5510,"Production",114,"Sorghum",2023,2023,"t",6835.86,"A","Official figure",""
"80","QCL","Crops and livestock products",716,"Zimbabwe",5510,"Production",118,"Millet",2023,2023,"t",89831,"A","Official figure",""
"81","QCL","Crops and livestock products",716,"Zimbabwe",5510,"Production",114,"Sorghum",2023,2023,"t",82063,"A","Official figure",""
